Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Luxembourg,:,:,:,:,:,"13,210.67","13,577.05","12,976.74","13,019.98","12,498.54","10,071.93","10,139.97","9,517.14","8,911.23","9,397.82","9,905.55","10,496.02","11,363.86","11,900.98","13,377.22","13,692.59","13,536.48","13,137.33","13,017.87","12,436.27","13,360.6","12,981.7","12,551.43","11,842.44","11,561.88","11,286.77","11,108.99","11,626.61","12,229.3","12,244.52"
Hungary,"111,732.18","107,659.81","107,840.24","102,914.05","101,023.56","92,620.41","86,204.44","75,335.13","74,395.27","72,803.21","71,658.75","77,750.19","75,917.18","74,131.48","76,525.88","74,584.5","74,898.67","73,640.33","74,298.85","74,240.02","71,738.47","72,681.18","70,552.15","66,542.28","61,715.29","62,230.05","60,840.75","56,411.23","54,552.73","53,580.61","56,200.29","58,194.03","60,022.79","60,924.1","59,722.5"
Malta,:,:,:,:,:,"3,701","3,612.44","3,985.25","4,840.83","4,721.01","4,562.97","4,727.26","4,920.93","4,995.61","5,266.79","5,300.96","5,520.97","5,991.89","6,419.39","6,571.27","5,339.57","5,689.72","6,092.64","6,256.18","6,721.52","7,857.73","7,450.37","7,256.6","6,962.08","7,270.26","7,701","7,769.71","9,456.31","9,718.52","10,000.39"
Netherlands,:,:,:,:,:,"266,533.77","275,337.48","276,722.86","276,565.88","278,676.66","278,873.46","291,521.74","286,723.29","287,623.83","276,000.79","276,358.63","280,797.19","278,585.72","276,288.45","282,242.68","280,050.6","278,462.34","278,189.5","275,366.74","263,365.44","272,499.18","262,078.47","253,439.48","252,309.51","244,156.96","250,845.41","248,593.07","245,533.26","239,854.85","235,637.63"
Austria,:,:,:,:,:,"67,166.13","66,164.22","64,661.49","64,671.65","65,124.77","67,276.62","73,276.73","64,492.45","65,710.73","61,840.3","65,291.85","66,345.94","73,035.63","87,818.32","83,444.55","83,378.91","86,797.69","83,959.39","84,708.18","77,387.47","80,755.61","78,278.98","76,140.24","77,399","73,949.52","76,501.05","77,858.65","79,441.01","76,094.83","78,186.25"
Poland,:,:,:,"562,870.36","539,800.87","447,473.87","441,687.94","450,448.88","442,361.32","437,168.91","428,986.43","425,402.55","415,568.48","379,559.96","371,318.17","361,913.27","368,176.01","349,500.76","361,437.36","355,607.37","357,094.59","378,687.03","384,894.45","379,388.55","361,312.63","381,775.45","373,722.26","366,940.01","361,322.43","357,285.6","364,103.03","372,266.56","382,978.02","379,655.7","379,798.74"
Portugal,:,:,:,:,:,"63,063.71","64,935.68","64,486.93","61,567.65","61,678.55","66,993.36","61,230.87","63,557.37","70,189.53","77,691.17","80,296.38","76,108.96","81,212.97","87,535.37","80,906.57","92,558.29","76,984.93","71,127.44","67,396.53","63,935.06","64,356.54","62,166.08","61,774.32","61,213.69","59,048.45","64,239.57","67,184.21","87,598.53","67,408.9","63,264.02"
Romania,"-3,137.93","-1,986.54","-2,318.62",-830.32,"306,445.17","241,767.95","190,083.56","178,327.38","165,124.9","156,005.02","161,189.51","164,319.62","155,932.99","138,629.69","120,917.25","114,110.46","116,419.69","120,185.2","125,876.44","124,270.14","121,145.9","123,310.47","121,301.02","116,562.59","95,977.95","89,837.21","99,454.2","93,691.31","84,882.94","85,375.01","86,619.31","83,745.07","89,436.79","92,455.26","84,220.09"
Slovenia,:,"15,670.25","14,904.22","14,372.02","14,208.9","14,217.57","12,473.11","12,330.03","12,691.28","12,895.92","13,512.14","13,552.64","13,900.76","13,361.77","12,654.71","12,306.51","13,544.62","12,656.74","12,837.18","12,884","13,185.72","13,528.56","13,355.46","14,391.69","12,168.79","12,410.53","12,500.97","12,076.66","12,944.43","17,315.37","17,634.08","18,856.97","19,199.49","19,334.02","17,661.23"
Slovakia,:,:,:,:,:,"63,930.77","53,736.18","47,456.41","44,211.18","42,216.83","43,287.87","43,180.09","43,212.67","41,513.82","40,830.77","38,922.51","41,892.85","40,004.89","40,648.78","41,341.29","44,849.46","41,962.22","40,586.57","42,044.16","38,023.68","39,431.53","38,317.38","35,062.28","33,938.47","33,927.91","34,319.86","34,647.74","35,874.24","36,738.87","33,853.99"
Finland,:,:,:,:,:,"60,558.68","45,434.59","50,223.41","51,904.41","63,842.16","60,496.29","59,574.28","63,106.4","61,013.57","59,830.43","58,304.61","61,896.02","63,284.65","70,057.54","65,037.59","52,335.74","58,594.39","65,709.74","54,342.68","37,764.17","57,209.46","49,347.29","40,920.05","47,805.91","40,913.82","40,104.3","43,992.4","42,853.24","51,555.5","42,024"
Sweden,:,:,:,:,:,"38,437.68","39,367.29","39,443.54","44,080.22","44,968.08","41,744.15","43,672.76","38,603.17","38,748.48","36,149.06","32,988.18","32,831.56","33,101.06","37,536.93","44,604.68","43,022.07","33,384.74","39,150.81","35,683.5","31,548","35,079.36","29,665.09","25,809.51","26,007.35","24,912.78","27,167.94","23,123.03","26,191.08","25,423.7","25,094.07"
Iceland,:,:,:,:,:,"13,115.45","12,895.43","12,786.97","12,878.1","12,798.35","12,915.53","13,023.9","13,230.15","13,436.17","13,680.64","13,776.17","13,625.77","13,731.43","13,644.31","13,801.52","13,682.75","14,430.4","14,747.59","15,118.15","14,636.86","14,539.99","14,390.29","14,389.31","14,485.11","14,546.59","14,795.7","15,003.08","15,301.4","15,467.81","14,965.71"
Norway,:,:,:,:,:,"42,542.34","38,090.67","37,200.73","37,553.42","41,453.24","37,683.34","42,032.18","44,117.03","42,123.59","41,619.21","39,359.07","38,549.66","35,764.63","34,609.14","35,423.06","37,847.76","35,839.54","37,505.48","34,535.75","28,662.75","34,031.48","32,037.6","35,281.42","34,653.95","37,860.18","42,577.7","40,566.69","38,567.9","38,058.73","34,095.1"
Switzerland,:,:,:,:,:,"55,179.08","53,838.47","54,657.21","52,040.52","52,460.63","52,811.42","52,009.79","52,620.65","55,350.98","55,900.22","63,085.83","58,165.74","54,624.15","55,330.45","55,729.63","56,192.84","56,994.95","56,417.29","56,761.8","54,163.83","56,358.96","54,227.87","54,414.13","55,870.16","53,435.46","51,256.44","51,806.82","51,560.67","51,402.47","50,051.5"
United Kingdom,:,:,:,:,:,"833,929.96","842,204.6","822,329.94","803,120.23","793,512.97","788,491.71","811,327.68","787,104.87","787,328.08","757,858.75","758,621.52","760,487.32","738,107.38","744,806.9","744,072.23","738,593.23","732,196.61","719,678.23","701,044.77","642,923.83","654,378.57","611,149.05","625,674.3","612,110.7","572,609.82","555,217.65","530,917.75","521,833.39","515,644.43","502,344.69"
Turkey,:,:,:,:,:,"164,734.58","171,388.38","177,521.98","185,774.5","178,216.56","192,018.12","211,321.48","219,061.45","219,857.23","216,240.29","240,305.95","218,160.19","218,146.97","235,524.92","247,399.5","269,455.47","290,109","323,450.52","326,079.9","331,253.74","334,063.19","359,837.49","383,504.61","374,858.34","394,744.56","390,019.07","416,704.2","439,106.75","443,141.27","438,983.37"
