"Year","Firm","ESG controversy score","Governance controversy score","Score - Emission Reduction/Biodiversity Controversies (Inactive)","Score - Product Innovation/Product Impact Controversies (Inactive)","Score - Resource Reduction/Environment Impact Controversy (Inactive)","Score - Client Loyalty/Anti-competition Controversy (Inactive)","Score - Community/Bribery Corruption Fraud Controversies (Inactive)","Score - Community/Critical Countries-Indigenous Controversy (Inactive)","Score - Community/Public Health Controversies (Inactive)","Score - Diversity and Opportunity/Diversity Controversies (Inactive)","Score - Employment Quality/Wages Work Condition Controversy (Inactive)","Score - Health & Safety/Health & Safety Controversies (Inactive)","Score - Human Rights/Child Labor Controversies (Inactive)","Score - Human Rights/Freedom of Association Controversies (Inactive)","Score - Human Rights/Human Rights Controversies (Inactive)","Score - Product Responsibility/Customer Controversies (Inactive)","Score - Product Responsibility/Social Exclusion Controversy (Inactive)","Score - Compensation Policy/Compensation Controversies (Inactive)","Score - Shareholder Loyalty/Accounting Controversies (Inactive)","Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive)","Score - Shareholder Rights/Shareholder Controversies (Inactive)","mv","mc","tobin","roe","oia","ois","esg_score","assets","roa","sg","lev","div","ind","country"
2017,"ADDEX THERAPEUTICS",52.23,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,24.76,30732,11.801,-1440.76,-1.056154097,-6.47,24.41,3063,-138.23,24.99,0,0,157,"CH"
2017,"ADIDAS",0.77,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,31591.85,34075405,2.047,15.71,0.135617622,0.088792535,86.83,13892000,8.04,14.8,8.08,1.06,153,"DE"
2017,"ADMIRAL GROUP",54.65,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,5195.11,5750030,1.37,38.92,0.098289586,0.36752591,61.83,4221200,8.65,11.02,5.31,3.85,107,"GB"
2017,"ADP",56.35,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,10098.92,15685255,1.206,10.15,0.061646235,0.243295549,67.86,14275000,5.39,22.73,40.94,2.56,64,"FR"
2017,"AEGON",54.65,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,10930.8,10865133,0.042,2.59,0.006591337,0.064996207,71.27,377010000,0.7,1.31,4.86,4.93,106,"NL"
2017,"AENA SME",7.94,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,19627.5,25350000,1.801,23.31,0.110389466,0.423238554,45.87,15185063,8.57,6.77,52.56,2.07,64,"ES"
2017,"AGEAS (EX-FORTIS)",54.65,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,8173.36,8102527,0.109,0.38,0.00526285,0.044385154,43.26,102416000,0.67,-5.47,4.57,3.19,106,"BE"
2017,"AGFA-GEVAERT",56.67,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,628.97,652049,0.286,32.56,0.062322946,0.054031928,69.48,2118000,1.88,-3.71,4.06,0,214,"BE"
2017,"AGGREKO",56.36,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2351.26,2046464,1.219,9.14,0.087524752,0.127745665,61.21,2525000,5.15,14.19,28.63,2.95,258,"GB"
2017,"AIR FRANCE-KLM",15.43,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1547.63,5805282,0.266,115.79,0.035285844,0.033082532,71.24,24174000,-0.38,3.78,32.98,0,129,"FR"
