Year,Firm,ESG controversy score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,assets,roa,sg,lev,div,ind,country,ESG Label
2017,DAVIDE CAMPARI MILANO,0.890817386,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.002302779,0.002495273,0.033702947,0.475003113,0.303675421,0.248332544,0.331038647,0.000331529,0.387199621,0.000466825,0.368965517,0.023616236,68,IT,5
2017,DCC,0.878801365,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.002270993,0.002467537,0.032141815,0.47763126,0.295255804,0.246167436,0.649275362,0.000482979,0.377793002,0.000454682,0.334236453,0.049446494,250,GB,5
2017,DE LONGHI,0.852247441,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.001426569,0.001263922,0.038313394,0.47756572,0.31396039,0.24743129,0.597222222,0.000155582,0.389465641,0.000474328,0.245320197,0.04797048,59,IT,4
2017,DEBENHAMS DEAD - DELIST.10/04/19,0.88043317,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000290297,0.000161107,0.019652758,0.475320981,0.294320956,0.246445803,0.728019324,0.000166118,0.371337479,0.000441948,0.177339901,0.147109471,87,GB,5
2017,DECHRA PHARMACEUTICALS,0.988429016,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000523324,0.000527106,0.041464838,0.473751303,0.298367172,0.247262546,0.480917874,4.81E-05,0.377793002,0.000648506,0.350738916,0.033702337,95,GB,5
2017,DEMANT,0.837116155,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.014077627,0.014766181,0.048117887,0.479004319,0.322321591,0.248122166,0.486352657,0.001201415,0.394972597,0.000488244,0.432389163,0,132,DK,3
2017,DERWENT LONDON,0.762646492,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.001304109,0.001164203,0.024613364,0.472627295,0.289868451,0.253634648,0.707729469,0.000381725,0.381877108,0.000560144,0.185098522,0.026076261,239,GB,2
2017,DEUTSCHE BANK,0,0.494623656,0.999434176,1,0.986452312,0,0,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0,0.991694979,0.986545386,0.967629846,0.010300055,0.011041314,0.01405019,0.471218189,0.281558652,0.246351578,0.880676329,0.111289227,0.364249578,0.000415572,0.229310345,0,113,DE,1
2017,DEUTSCHE BOERSE,0.013647827,0.016174984,0.999434176,1,0.986452312,0,0,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0,0.991694979,0,0.967629846,0.006283315,0.006077131,0.003297345,0.481439123,0.28351382,0.250773653,0.822101449,0.010237675,0.365856872,0.000465142,0.136206897,0.072078721,111,DE,1
2017,DEUTSCHE EUROSHOP,0.788607032,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000884905,0.00070015,0.025153195,0.475927225,0.289156978,0.253441391,0.228985507,0.000350558,0.374947302,0.000472873,0.411699507,0.085116851,112,DE,2
2017,DEUTSCHE LUFTHANSA,0.042278594,0.969120485,0.999434176,1,0.986452312,0,0,0.995437262,0.987504733,0.984742647,0,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.002495006,0.004869191,0.016370003,0.480380655,0.298841824,0.246667181,0.711111111,0.00263384,0.383747892,0.000499568,0.242118227,0.029274293,129,DE,1
2017,DEUTSCHE POST,0.063195372,0.969120485,0.999434176,1,0.986452312,0,0,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0,0,0.991359447,0.991694979,0.986545386,0.967629846,0.016593137,0.016381781,0.029267581,0.479934984,0.301013026,0.246428915,0.843357488,0.002759387,0.384880902,0.000467916,0.20320197,0.066420664,40,DE,1
2017,DEUTSCHE TELEKOM,0.951935915,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.03260435,0.023625891,0.026962358,0.475127639,0.296646783,0.247165159,0.808333333,0.010410583,0.375447934,0.000454773,0.495689655,0.082410824,142,DE,5
